Diet_type,Recipe_name,Calories,Protein,Carbs,Fat,Cuisine
Vegetarian,Eggplant Parmesan Special,400,17,35,26,Italian
Vegetarian,Tzatziki with Pita Special,289,9,35,14,Mediterranean
Non-vegetarian,Barbacoa Special,406,37,10,26,Mexican
Vegetarian,Bean and Rice Bowl Special,450,18,62,18,Mexican
Vegan,Vegan Hot and Sour Soup Special,138,6,20,4,Chinese
Non-vegetarian,Chicken Quesadilla Special,516,29,45,28,Mexican
Vegan,Bean Soup Special,247,16,40,6,Italian
Non-vegetarian,Shrimp Ceviche Special,241,28,12,8,Mexican
Non-vegetarian,Chicken Lemon Special,427,27,32,22,Chinese
Non-vegetarian,Lamb Souvlaki Special,486,33,12,32,Mediterranean
Non-vegetarian,Egg Curry Special,300,20,15,22,Indian
Non-vegetarian,Chicken Shawarma Special,469,40,25,28,Mediterranean
Vegetarian,Four Cheese Pizza Special,575,24,58,30,Italian
Vegan,Poha Special,251,9,42,8,Indian
Vegetarian,Greek Pita Special,401,14,45,20,Mediterranean
Vegetarian,Tofu in Black Bean Sauce Special,300,19,20,20,Chinese
Vegetarian,Spring Rolls Special,341,6,40,15,Chinese
Vegan,Lauki Sabzi Special,159,3,20,5,Indian
Vegan,Guacamole Special,275,5,18,22,Mexican
Non-vegetarian,Prawn Masala Special,400,32,15,22,Indian
Vegetarian,Nachos Supreme Special,612,19,55,38,Mexican
Non-vegetarian,Beef Gyro Special,526,34,40,32,Mediterranean
Non-vegetarian,Dragon Chicken Special,485,33,32,28,Chinese
Non-vegetarian,Chicken Parmesan Special,596,39,35,32,Italian
Vegan,Hummus Bowl Special,374,14,42,18,Mediterranean
Vegan,Roasted Peppers Special,172,4,18,8,Italian
Vegetarian,Spring Rolls Special,319,5,40,15,Chinese
Vegan,Toor Dal Special,225,18,38,4,Indian
Non-vegetarian,Shrimp Kebab Special,367,31,10,22,Mediterranean
Vegetarian,Veg Seekh Kebab Special,265,13,22,18,Indian
Non-vegetarian,Beef Kebab Special,467,32,10,32,Mediterranean
Non-vegetarian,Dragon Chicken Special,500,28,32,28,Chinese
Vegan,Palak Dal Special,265,13,35,8,Indian
Vegan,Vegan Nachos Special,431,9,52,22,Mexican
Vegetarian,Refried Beans Special,233,15,35,6,Mexican
Vegan,Tofu Schezwan Special,377,15,28,20,Chinese
Non-vegetarian,Egg Biryani Special,459,24,55,22,Indian
Vegan,Stir Fried Mushrooms Special,192,5,15,12,Chinese
Vegan,Tofu Stir Fry Special,301,21,22,18,Chinese
Non-vegetarian,Pescado Frito Special,356,32,25,22,Mexican
Vegetarian,Churros Special,397,5,55,16,Mexican
Vegetarian,Halloumi Skewers Special,343,19,15,26,Mediterranean
Non-vegetarian,Fish Manchurian Special,360,26,32,20,Chinese
Vegan,Roasted Vegetable Pasta Special,402,9,58,14,Italian
Vegetarian,Bean Chalupa Special,379,16,45,18,Mexican
Vegetarian,Cheese Pide Special,426,19,48,24,Mediterranean
Non-vegetarian,Carnitas Tacos Special,452,35,35,25,Mexican
Vegan,Guacamole Special,221,7,18,22,Mexican
Non-vegetarian,Lamb Kebab Special,436,35,8,32,Mediterranean
Vegetarian,Paneer Do Pyaza Special,465,21,18,32,Indian
Vegetarian,Paneer Do Pyaza Special,441,18,18,32,Indian
Non-vegetarian,Pescado Frito Special,399,31,25,22,Mexican
Vegetarian,Veg Korma Special,392,14,35,28,Indian
Vegetarian,Tofu in Black Bean Sauce Special,310,21,20,20,Chinese
Vegan,Lauki Sabzi Special,123,2,20,5,Indian
Vegetarian,Halloumi Fries Special,393,18,28,26,Mediterranean
Non-vegetarian,Shrimp Tacos Special,359,25,32,18,Mexican
Vegetarian,Burnt Garlic Fried Rice Special,446,9,62,16,Chinese
Vegan,Black Bean Tacos Special,364,16,48,10,Mexican
Vegan,Vegan Dolmas Special,216,3,35,8,Mediterranean
Vegan,Roasted Vegetable Pasta Special,375,12,58,14,Italian
Vegetarian,Spring Rolls Special,337,10,40,15,Chinese
Vegetarian,Sopapillas Special,326,2,48,14,Mexican
Vegetarian,Shakshuka Special,317,20,22,20,Mediterranean
Vegan,Stir Fried Mushrooms Special,202,10,15,12,Chinese
Vegetarian,Veg Hakka Noodles Special,447,12,62,15,Indian
Vegetarian,Hakka Noodles Special,467,10,70,16,Chinese
Vegan,Bean Tostadas Special,334,11,45,12,Mexican
Vegan,Mediterranean Quinoa Special,380,14,48,14,Mediterranean
Vegetarian,Bean and Rice Bowl Special,454,16,62,18,Mexican
Non-vegetarian,Chicken Gyro Special,471,38,40,24,Mediterranean
Non-vegetarian,Chicken Parmigiana Special,557,43,35,32,Italian
Vegan,Gajar Matar Special,204,8,25,8,Indian
Non-vegetarian,Carnitas Tacos Special,455,37,35,25,Mexican
Vegetarian,Mapo Tofu Special,337,21,18,24,Chinese
Vegetarian,Cheese Pastry Special,394,12,38,22,Mediterranean
Vegan,Spaghetti Aglio e Olio Special,434,10,65,15,Italian
Non-vegetarian,Seafood Linguine Special,533,30,55,24,Italian
Vegetarian,Pappardelle Special,466,13,58,18,Italian
Vegetarian,Cheese Stromboli Special,537,23,52,28,Italian
Vegetarian,Greek Pita Special,378,12,45,20,Mediterranean
Vegan,Spaghetti Aglio e Olio Special,390,10,65,15,Italian
Vegetarian,Halloumi Skewers Special,373,21,15,26,Mediterranean
Vegan,Grilled Corn Salad Special,229,5,35,10,Mexican
Non-vegetarian,Shrimp Risotto Special,495,30,52,24,Italian
Non-vegetarian,Chicken Quesadilla Special,546,32,45,28,Mexican
